tile_id,row,column,palette_index,palette_id,palette_name,sku,piece_type,piece_fraction,bounding_width_in,bounding_height_in,clipped_edges,vertices_in
placement-000793,19,2,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,1.453125000 16.171875000;0.453125000 16.171875000;0.453125000 16.078630289;0.953125000 15.789955154;1.453125000 16.078630289
placement-000794,19,3,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,2.515625000 16.171875000;1.515625000 16.171875000;1.515625000 16.078630289;2.015625000 15.789955154;2.515625000 16.078630289
placement-000795,19,4,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,3.578125000 16.171875000;2.578125000 16.171875000;2.578125000 16.078630289;3.078125000 15.789955154;3.578125000 16.078630289
placement-000796,19,5,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,4.640625000 16.171875000;3.640625000 16.171875000;3.640625000 16.078630289;4.140625000 15.789955154;4.640625000 16.078630289
placement-000797,19,6,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,5.703125000 16.171875000;4.703125000 16.171875000;4.703125000 16.078630289;5.203125000 15.789955154;5.703125000 16.078630289
placement-000798,19,7,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,6.765625000 16.171875000;5.765625000 16.171875000;5.765625000 16.078630289;6.265625000 15.789955154;6.765625000 16.078630289
placement-000799,19,8,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,7.828125000 16.171875000;6.828125000 16.171875000;6.828125000 16.078630289;7.328125000 15.789955154;7.828125000 16.078630289
placement-000800,19,9,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,8.890625000 16.171875000;7.890625000 16.171875000;7.890625000 16.078630289;8.390625000 15.789955154;8.890625000 16.078630289
placement-000801,19,10,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,9.953125000 16.171875000;8.953125000 16.171875000;8.953125000 16.078630289;9.453125000 15.789955154;9.953125000 16.078630289
placement-000802,19,11,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,11.015625000 16.171875000;10.015625000 16.171875000;10.015625000 16.078630289;10.515625000 15.789955154;11.015625000 16.078630289
placement-000803,19,12,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,12.078125000 16.171875000;11.078125000 16.171875000;11.078125000 16.078630289;11.578125000 15.789955154;12.078125000 16.078630289
placement-000804,19,13,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,13.140625000 16.171875000;12.140625000 16.171875000;12.140625000 16.078630289;12.640625000 15.789955154;13.140625000 16.078630289
placement-000805,19,14,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,14.203125000 16.171875000;13.203125000 16.171875000;13.203125000 16.078630289;13.703125000 15.789955154;14.203125000 16.078630289
placement-000806,19,15,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,15.265625000 16.171875000;14.265625000 16.171875000;14.265625000 16.078630289;14.765625000 15.789955154;15.265625000 16.078630289
placement-000807,19,16,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,16.328125000 16.171875000;15.328125000 16.171875000;15.328125000 16.078630289;15.828125000 15.789955154;16.328125000 16.078630289
placement-000808,19,17,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,17.390625000 16.171875000;16.390625000 16.171875000;16.390625000 16.078630289;16.890625000 15.789955154;17.390625000 16.078630289
placement-000809,19,18,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,18.453125000 16.171875000;17.453125000 16.171875000;17.453125000 16.078630289;17.953125000 15.789955154;18.453125000 16.078630289
placement-000810,19,19,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,19.515625000 16.171875000;18.515625000 16.171875000;18.515625000 16.078630289;19.015625000 15.789955154;19.515625000 16.078630289
placement-000811,19,20,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,20.578125000 16.171875000;19.578125000 16.171875000;19.578125000 16.078630289;20.078125000 15.789955154;20.578125000 16.078630289
placement-000812,19,21,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,21.640625000 16.171875000;20.640625000 16.171875000;20.640625000 16.078630289;21.140625000 15.789955154;21.640625000 16.078630289
placement-000813,19,22,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,22.703125000 16.171875000;21.703125000 16.171875000;21.703125000 16.078630289;22.203125000 15.789955154;22.703125000 16.078630289
placement-000814,19,23,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,23.765625000 16.171875000;22.765625000 16.171875000;22.765625000 16.078630289;23.265625000 15.789955154;23.765625000 16.078630289
placement-000815,19,24,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,24.828125000 16.171875000;23.828125000 16.171875000;23.828125000 16.078630289;24.328125000 15.789955154;24.828125000 16.078630289
placement-000816,19,25,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,25.890625000 16.171875000;24.890625000 16.171875000;24.890625000 16.078630289;25.390625000 15.789955154;25.890625000 16.078630289
placement-000817,19,26,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,26.953125000 16.171875000;25.953125000 16.171875000;25.953125000 16.078630289;26.453125000 15.789955154;26.953125000 16.078630289
placement-000818,19,27,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,28.015625000 16.171875000;27.015625000 16.171875000;27.015625000 16.078630289;27.515625000 15.789955154;28.015625000 16.078630289
placement-000819,19,28,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,29.078125000 16.171875000;28.078125000 16.171875000;28.078125000 16.078630289;28.578125000 15.789955154;29.078125000 16.078630289
